wall_time,session_t,mode,source,outcome,gesture,distance,threshold,threshold_source,runner_up,runner_up_distance,margin_ratio,fired,key,detail,seg_frames,seg_duration,seg_peak_speed,seg_mean_speed,seg_close_reason,session_label
1788623221.197,121.075,LIVE,trajectory,rejected,r,0.9979,0.4200,default(1 sample),,inf,0.0000,False,,distance over threshold,12,0.754,0.7937,0.1401,still,
1788623225.278,125.156,LIVE,trajectory,rejected,r,0.7109,0.4200,default(1 sample),,inf,0.0000,False,,distance over threshold,25,2.113,0.2892,0.1614,hand_lost,
1788623226.219,126.096,LIVE,trajectory,rejected,r,1.0063,0.4200,default(1 sample),,inf,0.0000,False,,distance over threshold,12,0.751,0.9148,0.1520,still,
1788623229.887,129.764,LIVE,trajectory,rejected,r,0.6058,0.4200,default(1 sample),,inf,0.0000,False,,distance over threshold,27,2.196,0.3311,0.1623,hand_lost,
1788623232.686,132.563,LIVE,trajectory,accepted,r,0.4091,0.4200,default(1 sample),,inf,0.0000,True,None,no action mapped in gestures.yaml,34,2.656,0.9024,0.1718,hand_lost,
1788623234.162,134.040,LIVE,trajectory,segment_rejected,,,,,,,,,,too_short(4f<5f),4,0.926,1.8950,1.0459,hand_lost,
1788623234.685,134.562,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.29<0.55),8,0.465,0.5144,0.1011,still,
1788623237.157,137.035,LIVE,trajectory,rejected,r,0.4629,0.4200,default(1 sample),,inf,0.0000,False,,distance over threshold,23,2.255,1.0889,0.2327,hand_lost,
1788623239.946,139.824,LIVE,trajectory,rejected,r,0.4884,0.4200,default(1 sample),,inf,0.0000,False,,distance over threshold,21,1.792,0.2903,0.1358,hand_lost,
1788623240.828,140.706,LIVE,trajectory,segment_rejected,,,,,,,,,,too_short(4f<5f),4,0.671,1.2692,0.5804,hand_lost,
1788623243.084,142.961,LIVE,trajectory,rejected,r,0.6967,0.4200,default(1 sample),,inf,0.0000,False,,distance over threshold,27,2.193,0.2687,0.1400,hand_lost,
1788624475.071,131.384,LIVE,trajectory,accepted,r,0.1310,0.6000,calibrated(3 samples),,inf,0.0000,True,None,no action mapped in gestures.yaml,16,0.610,0.3485,0.0922,still,
1788624477.094,133.408,LIVE,trajectory,segment_rejected,,,,,,,,,,too_short(4f<5f),4,0.434,0.0785,0.0546,hand_lost,
1788624480.172,136.486,LIVE,trajectory,accepted,r,0.4790,0.6000,calibrated(3 samples),,inf,0.0000,True,None,no action mapped in gestures.yaml,27,1.032,0.8111,0.1618,still,
1788624483.254,139.568,LIVE,trajectory,rejected,r,0.6295,0.6000,calibrated(3 samples),,inf,0.0000,False,,distance over threshold,28,1.254,0.9809,0.1364,still,
1788624485.912,142.226,LIVE,trajectory,accepted,r,0.1216,0.6000,calibrated(3 samples),,inf,0.0000,True,None,no action mapped in gestures.yaml,18,0.709,0.9080,0.1742,still,
1788624488.889,145.203,LIVE,trajectory,rejected,r,0.6559,0.6000,calibrated(3 samples),,inf,0.0000,False,,distance over threshold,40,1.617,0.2906,0.0941,still,
1788624491.505,147.819,LIVE,trajectory,accepted,r,0.1997,0.6000,calibrated(3 samples),,inf,0.0000,True,None,no action mapped in gestures.yaml,28,1.066,0.3702,0.1485,still,
